번호,매장
1001,신길점
20002,조원점
1003,서울대입구점
20004,신림점
20006,미사헤븐시티점
1007,성내점
1008,청룡점
20009,동탄역점
20010,동탄실리콘앨리점
20011,송도랜드마크점
20012,광교상현점
1013,상도점
1014,보라매점
20015,평택점
40016,광주용봉점
1017,화곡점
1018,낙성대점
1020,서울대행운점
20021,평촌역점
1022,봉천점
1023,샤로수길점
20024,갈매점
20025,한양대학로점
20026,도래울점
1027,서울대학점
20028,분당장안점
20029,장항점
20030,성남금광점
9031,독산점
1032,서교점
20033,안산중앙역점
40034,광양중동점
1035,봉천중앙점
1036,사당점
20037,평촌아이에스비즈점
1038,경희대점
1039,신림서원점
20040,곡반정점
1041,신림서림점
20042,금정점
1043,신림역점
1044,신림본점
20045,포천이동교점
1046,항동점
1047,서울대점
20048,수진역점
1049,마장점
1050,난곡점
